Opportunity,Type,Required Skills,Career
AI Internship,Internship,"Python,AI",AI Engineer
Google Summer Internship,Internship,"DSA,C++",Software Engineer
AWS Workshop,Workshop,"Cloud,AWS",Cloud Engineer
Data Analyst Internship,Internship,"SQL,Excel",Data Analyst
Machine Learning Internship,Internship,"Python,Machine Learning",ML Engineer
Web Development Internship,Internship,"HTML,CSS,JavaScript",Web Developer
Cyber Security Internship,Internship,"Networking,Linux",Cyber Security Analyst
Android Development Internship,Internship,"Java,Kotlin",Android Developer
Python Bootcamp,Bootcamp,"Python,Basics",Python Developer
Hackathon 2026,Hackathon,"Problem Solving,Python",Software Engineer
Power BI Workshop,Workshop,"Power BI,Excel",Business Analyst
UI/UX Workshop,Workshop,"Figma,Creativity",UI/UX Designer
Open Source Project,Project,"Git,GitHub",Software Engineer
Database Internship,Internship,"MySQL,SQL",Database Administrator
Cloud Bootcamp,Bootcamp,"AWS,Docker",Cloud Engineer
AI Research Project,Research,"Deep Learning,Python",AI Researcher
Data Science Workshop,Workshop,"Python,Pandas",Data Scientist
Java Internship,Internship,"Java,OOP",Java Developer
DevOps Internship,Internship,"Docker,Jenkins",DevOps Engineer
Networking Workshop,Workshop,"CCNA,TCP/IP",Network Engineer
Blockchain Seminar,Seminar,"Blockchain,Solidity",Blockchain Developer
IoT Workshop,Workshop,"Arduino,C Programming",IoT Engineer
Game Development Internship,Internship,"Unity,C#",Game Developer
Flutter Internship,Internship,"Flutter,Dart",Mobile App Developer
React Internship,Internship,"React,JavaScript",Frontend Developer
Backend Internship,Internship,"Node.js,Express",Backend Developer
Big Data Workshop,Workshop,"Hadoop,Spark",Big Data Engineer
Cloud Computing Seminar,Seminar,"Azure,Cloud",Cloud Architect
AI Bootcamp,Bootcamp,"Python,TensorFlow",AI Engineer
Business Analytics Internship,Internship,"Excel,Power BI",Business Analyst
